file_short_name,twitter_handle
fordham_twitter-search.json,twitter.com/fordhamnotes
fordham_twitter-search.json,twitter.com/fordhamlawnyc
fordham_twitter-search.json,twitter.com/fordhampress
fordham_twitter-search.json,twitter.com/fordhammbb
fsu_twitter-search.json,twitter.com/floridastate
fsu_twitter-search.json,twitter.com/fsufootball
fsu_twitter-search.json,twitter.com/fsuadmissions
fsu_twitter-search.json,twitter.com/fsupresthrasher
fsu_twitter-search.json,twitter.com/tomahawknation
fsu_twitter-search.json,twitter.com/fsu_softball
fsu_twitter-search.json,twitter.com/fsuresearch
fsu_twitter-search.json,twitter.com/fsubiz
gatech_twitter-search.json,twitter.com/georgiatech
gatech_twitter-search.json,twitter.com/gtresearchnews
gatech_twitter-search.json,twitter.com/gtadmission
gatech_twitter-search.json,twitter.com/megeorgiatech
gatech_twitter-search.json,twitter.com/gtswimdive
gatech_twitter-search.json,twitter.com/gtchbe
gatech_twitter-search.json,twitter.com/gtaerospace
gatech_twitter-search.json,twitter.com/gtcomputing
georgetown_twitter-search.json,twitter.com/georgetown
georgetown_twitter-search.json,twitter.com/georgetownhoyas
georgetown_twitter-search.json,twitter.com/georgetownhoops
georgetown_twitter-search.json,twitter.com/thehoya
georgetown_twitter-search.json,twitter.com/gogeorgetown
georgetown_twitter-search.json,twitter.com/georgetownlaw
georgetown_twitter-search.json,twitter.com/georgetown_up
georgetown_twitter-search.json,twitter.com/msbgu
georgetown_twitter-search.json,twitter.com/fgdewji
georgetown_twitter-search.json,twitter.com/eyewaME
georgetown_twitter-search.json,twitter.com/georgetownsfs
gwu_twitter-search.json,twitter.com/gwtweets
gwu_twitter-search.json,twitter.com/gwtoday
gwu_twitter-search.json,twitter.com/gwadmissions
gwu_twitter-search.json,twitter.com/gw_softball
gwu_twitter-search.json,twitter.com/gwsmhs
gwu_twitter-search.json,twitter.com/gwwomenssoccer
gwu_twitter-search.json,twitter.com/gwmenssoccer
gwu_twitter-search.json,twitter.com/gwbaseball1
harvard_twitter-search.json,twitter.com/harvard
harvard_twitter-search.json,twitter.com/applytoharvard
harvard_twitter-search.json,twitter.com/harvardhbs
harvard_twitter-search.json,twitter.com/thecrimson
harvard_twitter-search.json,twitter.com/harvard_press
harvard_twitter-search.json,twitter.com/harvardmed
harvard_twitter-search.json,twitter.com/kennedy_school
harvard_twitter-search.json,twitter.com/lhsummers
hmc_twitter-search.json,twitter.com/harveymudd
hmc_twitter-search.json,twitter.com/hmcadmission
hmc_twitter-search.json,twitter.com/hmcalumni
hmc_twitter-search.json,twitter.com/pomonacollege
hmc_twitter-search.json,twitter.com/cmsstagsfb
